SchoolYear,OrganizationLevel,County,ESDName,ESDOrganizationId,DistrictCode,DistrictName,DistrictOrganizationId,SchoolCode,SchoolName,SchoolOrganizationId,StudentGroupType,StudentGroup,Suppression,Cohort,BegginingGrade9,TransferIn,Year1Dropout,Year2Dropout,Year3Dropout,Year4Dropout,Year5Dropout,Year6Dropout,Year7Dropout,TransferOut,FinalCohort,Graduate,Continuing,Dropout,GraduationRate,DataAsOf
2015,School,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,5037,Auburn Mountainview High School,104154,504,Non Section 504,Cross Group,Five Year,,,,,,,,,,,,,,,0.9315,12/14/2020 12:00:00 AM
2015,School,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,5037,Auburn Mountainview High School,104154,504,Non Section 504,Cross Group,Seven year,,,,,,,,,,,,,,,0.9039,12/14/2020 12:00:00 AM
2015,School,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,5037,Auburn Mountainview High School,104154,504,Non Section 504,No Suppression,Four Year,392,31,,2,3,6,,,,52,371,348,12,11,0.938,12/14/2020 12:00:00 AM
2015,School,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,5037,Auburn Mountainview High School,104154,504,Non Section 504,No Suppression,Six year,306,55,8,4,3,11,6,1,,46,315,281,1,33,0.8921,12/14/2020 12:00:00 AM
2015,School,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,5037,Auburn Mountainview High School,104154,504,Section 504,>90%,Five Year,,,,,,,,,,,,,,,,12/14/2020 12:00:00 AM
2015,School,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,5037,Auburn Mountainview High School,104154,504,Section 504,N<10,Seven year,,,,,,,,,,,,,,,,12/14/2020 12:00:00 AM
2015,School,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,5037,Auburn Mountainview High School,104154,504,Section 504,No Suppression,Six year,16,,,,,1,1,,,0,16,14,0,2,0.875,12/14/2020 12:00:00 AM
2015,School,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,5037,Auburn Mountainview High School,104154,504,Section 504,No Suppression,Four Year,14,1,,,,1,,,,0,15,13,1,1,0.8667,12/14/2020 12:00:00 AM
2015,School,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,5037,Auburn Mountainview High School,104154,All,All Students,No Suppression,Five Year,346,34,1,,4,11,6,,,43,337,315,0,22,0.9347,12/14/2020 12:00:00 AM
2015,School,King,Puget Sound Educational Service District 121,100006,17408,Auburn School District,100016,5037,Auburn Mountainview High School,104154,All,All Students,No Suppression,Four Year,406,32,,2,3,7,,,,52,386,361,13,12,0.9352,12/14/2020 12:00:00 AM
