100 Block Address,Offense ID,Longitude,Latitude
13XX BLOCK OF E BOSTON ST,13,-122.315305135076923,47.638264084615385
,37036,0,0
SW ROXBURY ST / 25TH AVE SW,3,-122.364567317,47.51736357
E HARRISON ST / 16TH AVE E,3,-122.311357444,47.62208142
3RD AVE W / W BARRETT ST,4,-122.360894692,47.64665257
7XX BLOCK OF MINOR AVE,416,-122.322398657920673,47.60801798
N 44TH ST / EASTERN AVE N,2,-122.328984665,47.66027587
112XX BLOCK OF DAYTON AVE N,26,-122.352845615615385,47.7114306
52ND AVE NE / NE 65TH ST,1,-122.271563669,47.67575962
45XX BLOCK OF SW HOLGATE ST,4,-122.38972286,47.58682338
41XX BLOCK OF 51ST AVE S,16,-122.2694847206875,47.56588372
30XX BLOCK OF 61ST AVE SW,52,-122.410712814076923,47.57682391
13XX BLOCK OF NW 59TH ST,1,-122.372166409,47.67162732
S SHELTON ST / 15TH AVE S,7,-122.313439215,47.5579
17XX BLOCK OF 22ND AVE,154,-122.303753444902597,47.617643990324675
125XX BLOCK OF 27TH AVE NE,116,-122.299097169181034,47.720205680862069
26XX BLOCK OF CALIFORNIA AVE SW,591,-122.386583562111675,47.58025275
COLUMBIA DR S / S EDMUNDS ST,1,-122.305825712,47.5594291
15XX BLOCK OF NW 90TH ST,57,-122.37973752531579,47.694681617368421
DAYTON AVE N / N 122ND ST,2,-122.35290782,47.71778014
NW 57TH ST / 17TH AVE NW,1,-122.378883141,47.67017483
N 45TH ST / CORLISS AVE N,17,-122.331355596,47.66137501
14XX BLOCK OF SW ROXBURY ST,9,-122.353471284888889,47.51735061
53XX BLOCK OF 14TH AVE S,16,-122.31456025825,47.55423012
4XX BLOCK OF 36TH AVE E,5,-122.287473382,47.62293706
3XX BLOCK OF S KING ST,15,-122.330343143333333,47.598288955333333
N 62ND ST / DAYTON AVE N,7,-122.35286744,47.67388234
19XX BLOCK OF BLENHEIM DR E,2,-122.290150084,47.63626979
106XX BLOCK OF DURLAND AVE NE,16,-122.277590841,47.7063129
S HANFORD ST / 1ST AVE S,79,-122.334203019,47.57557558
MAGNOLIA BLVD W / W HOWE ST,8,-122.405100017,47.63589509
11XX BLOCK OF 32ND AVE,18,-122.291432651444444,47.612278681111111
7XX BLOCK OF 22ND AVE E,7,-122.303571598571429,47.626016531428571
81XX BLOCK OF FAUNTLEROY WAY SW,2,-122.392708012,47.53065739
1XX BLOCK OF 18TH AVE,76,-122.308964871342105,47.60263658
75XX BLOCK OF DAYTON AVE N,2,-122.352421601,47.68365832
29XX BLOCK OF E UNION ST,17,-122.294315772294118,47.612950191764706
83XX BLOCK OF 9TH AVE NW,44,-122.368325780363636,47.689361405454546
63XX BLOCK OF W MARGINAL WAY SW,13,-122.345096089307692,47.5473692
RENTON AVE S / M L KING JR WAY S,3,-122.296751504,47.57152594
45XX BLOCK OF S ORCAS ST,27,-122.276523206814815,47.55117036
42XX BLOCK OF 10TH AVE S,3,-122.319904542666667,47.56539947
25XX BLOCK OF S LANE ST,10,-122.299350229,47.59675749
2XX BLOCK OF NE N LAKE WAY,1,-122.326289149,47.65375252
GENESSEE AV S/ RAINIER AV S,1,-122.278256133,47.56415603
N 92ND ST / MERIDIAN AVE N,1,-122.333803906,47.69594665
FAIRVIEW AVE N / ALOHA ST,3,-122.332799031,47.62722135
19XX BLOCK OF NE 105TH ST,7,-122.306629583,47.70483552
130XX BLOCK OF 39TH AVE NE,22,-122.286401776,47.72469565
5XX BLOCK OF W COMSTOCK ST,11,-122.363768218454546,47.6304651
40XX BLOCK OF BURKE AVE N,33,-122.335054815363636,47.65622656
90XX BLOCK OF 7TH AVE NW,24,-122.3646853005,47.695156491666667
17XX BLOCK OF NW 97TH ST,14,-122.37963717,47.69972198
3XX BLOCK OF W CROCKETT ST,8,-122.36162464,47.63775949
E OLIVE WAY / HARVARD AVE E,42,-122.322205993,47.6198982
34XX BLOCK OF SW TRENTON ST,4,-122.375965686,47.52465396
24XX BLOCK OF S ANGELINE ST,11,-122.301428567545454,47.559977680909091
S/B BATTERY STREET TUNNEL,1,-122.345656281,47.62038745
88XX BLOCK OF 42ND AVE S,24,-122.280695748833333,47.523654523333333
SW MORGAN ST / LANHAM PL SW,3,-122.372534123,47.54465308
W PROSPECT ST / 7TH AVE W,2,-122.366474643,47.62875036
37TH AVE S / S HOLLY ST,1,-122.286277155,47.54247074
8TH AVE S / S ORCHARD ST,2,-122.322565531,47.53867868
127XX BLOCK OF 28TH AVE NE,111,-122.297728271567568,47.72180711
DEXTER AVE N / HOWE ST,6,-122.3424075625,47.63599561
ALASKAN WAY VI NB / MARION ST,1,-122.337473698,47.60319105
67XX BLOCK OF 37TH AVE S,60,-122.2862582246,47.5415623
4 AV S / EDGAR MARTINEZ DR S,21,-122.329051725,47.59031044
MCGRAW ST / NOB HILL AVE N,1,-122.351302674,47.63994564
E OLIVE WAY / E OLIVE PL,2,-122.326819704,47.61707676
53XX BLOCK OF 47TH AVE SW,9,-122.392329629,47.55446415
21ST AVE NE / NE 54TH ST,6,-122.305478175,47.66799691
S ROYAL BROUGHAM WAY / 8TH AVE S,2,-122.322769422,47.59278183
43XX BLOCK OF NE 43RD ST,22,-122.280383508636364,47.65986681
77XX BLOCK OF 31ST AVE NE,13,-122.294842251538462,47.684929513846154
CALIFORNIA AVE SW / SW DONALD ST,2,-122.386145799,47.59191086
AIRPORT WAY S / S NORFOLK ST,3,-122.288138264,47.51365307
27XX BLOCK OF S JACKSON ST,36,-122.29682317675,47.5992259
101XX BLOCK OF DAYTON AVE N,1,-122.352735654,47.70254005
74XX BLOCK OF E MARGINAL WAY S,1,-122.317892566,47.53708722
FRANKLIN AVE E / E LOUISA ST,4,-122.324648088,47.64202992
16XX BLOCK OF 3RD AVE W,27,-122.361000383,47.63413586
11TH AVE NW / NW 103RD ST,1,-122.370079729,47.70335199
73XX BLOCK OF 45TH AVE S,21,-122.276676713047619,47.53637037
N ALLEN PL / FREMONT AVE N,6,-122.350032103,47.66076328
20XX BLOCK OF NW 56TH ST,26,-122.383434639538462,47.669450403846154
32XX BLOCK OF 34TH AVE S,44,-122.289877561,47.57449356
4XX BLOCK OF NW 97TH ST,9,-122.362717277555556,47.69967695
SW ANDOVER ST / 22ND AVE SW,3,-122.361177776,47.5683503
79XX BLOCK OF WALLINGFORD AVE N,66,-122.336747197363636,47.68630425
1ST AVE NE / WOODLAWN AVE NE,5,-122.328349555,47.67751252
S FARRAR ST / 51ST AVE S,2,-122.269812235,47.55556257
20TH AVE SW / SW BARTON ST,1,-122.359162421,47.5210292
143XX BLOCK OF 20TH AVE NE,36,-122.307336035888889,47.73297973
40XX BLOCK OF 18TH AVE SW,2,-122.356947467,47.56922664
