GISJOIN,BlockGroup,STATEA,COUNTYA,TRACTA,BLKGRPA,ADNEE001,ADNEE002,ADNEE003,ADNEE004,ADNEE005,ADNEE006,ADNEE007,ADNEE008,ADPYE001,ADRKE001,ADRWE001
G53000109501001,530019501001,53,1,950100,1,758,10,5,96,0,60,0,587,287,633,194000
G53000109501002,530019501002,53,1,950100,2,956,49,8,45,11,103,3,737,570,733,131600
G53000109501003,530019501003,53,1,950100,3,555,46,94,90,43,86,20,176,297,548,68600
G53000109502001,530019502001,53,1,950200,1,475,42,32,7,62,20,3,309,258,671,78700
G53000109502002,530019502002,53,1,950200,2,665,35,82,27,34,28,35,424,314,840,127100
G53000109502003,530019502003,53,1,950200,3,481,18,128,17,32,23,0,263,227,900,207500
G53000109503001,530019503001,53,1,950300,1,2128,360,400,451,97,357,210,253,467,447,
G53000109503002,530019503002,53,1,950300,2,1771,51,230,174,213,50,404,649,510,830,264300
G53000109503003,530019503003,53,1,950300,3,1299,0,255,0,237,158,33,616,383,,131600
G53000109503004,530019503004,53,1,950300,4,761,130,18,135,25,44,115,294,248,645,141100
G53000109503005,530019503005,53,1,950300,5,1099,0,98,58,204,121,0,618,314,674,
G53000109504001,530019504001,53,1,950400,1,1219,148,231,175,94,6,39,526,480,624,137500
G53000109504002,530019504002,53,1,950400,2,1808,215,278,15,168,138,93,901,473,960,137400
G53000109505001,530019505001,53,1,950500,1,1988,72,74,29,29,107,250,1427,704,753,150300
G53000109505002,530019505002,53,1,950500,2,2838,212,698,201,239,238,77,1173,739,669,137900
G53000309601001,530039601001,53,3,960100,1,1425,131,54,38,107,147,10,938,649,834,240300
G53000309601002,530039601002,53,3,960100,2,675,38,90,34,10,37,9,457,359,518,165900
G53000309601003,530039601003,53,3,960100,3,2108,65,74,18,122,128,52,1649,900,897,255000
G53000309602001,530039602001,53,3,960200,1,986,0,17,0,27,79,29,834,392,1023,212600
G53000309602002,530039602002,53,3,960200,2,1165,41,65,18,107,86,0,848,496,1346,
G53000309602003,530039602003,53,3,960200,3,766,17,95,0,18,19,21,596,392,688,288600
G53000309602004,530039602004,53,3,960200,4,1889,31,124,0,22,187,59,1466,871,988,254300
G53000309603001,530039603001,53,3,960300,1,715,53,93,55,51,35,44,384,369,470,
G53000309603002,530039603002,53,3,960300,2,835,33,93,271,15,55,8,360,464,638,98500
G53000309603003,530039603003,53,3,960300,3,819,37,60,158,30,92,0,442,412,528,118400
G53000309603004,530039603004,53,3,960300,4,875,196,75,8,206,44,7,339,365,797,153400
G53000309604001,530039604001,53,3,960400,1,1180,28,134,50,33,96,9,830,558,699,130900
G53000309604002,530039604002,53,3,960400,2,1057,50,151,49,65,226,127,389,486,568,119500
G53000309605001,530039605001,53,3,960500,1,813,44,275,43,29,0,51,371,356,540,150300
G53000309605002,530039605002,53,3,960500,2,744,58,29,28,36,12,0,581,311,744,138300
G53000309605003,530039605003,53,3,960500,3,1145,46,282,11,168,63,48,527,557,709,147700
G53000309605004,530039605004,53,3,960500,4,1092,11,96,18,35,404,0,528,417,697,146400
G53000309606001,530039606001,53,3,960600,1,811,169,118,98,124,126,88,88,383,563,122700
G53000309606002,530039606002,53,3,960600,2,1387,48,103,0,189,17,5,1025,564,688,216200
G53000309606003,530039606003,53,3,960600,3,641,38,27,27,0,111,0,438,311,730,153200
G53000309606004,530039606004,53,3,960600,4,603,17,95,102,9,0,37,343,243,630,203400
G53000500101001,530050101001,53,5,10100,1,2260,21,218,70,61,222,56,1612,1005,792,215900
G53000500101002,530050101002,53,5,10100,2,2204,0,21,0,43,23,0,2117,881,979,260100
G53000500102011,530050102011,53,5,10201,1,1819,39,14,18,0,24,0,1724,785,1690,291400
G53000500102012,530050102012,53,5,10201,2,2329,37,156,185,48,195,51,1657,876,861,189600
G53000500102013,530050102013,53,5,10201,3,909,33,60,0,13,0,34,769,348,950,187300
G53000500102021,530050102021,53,5,10202,1,500,82,0,0,30,0,0,388,381,834,241200
G53000500102022,530050102022,53,5,10202,2,1752,205,16,40,303,30,30,1128,660,647,80500
G53000500102023,530050102023,53,5,10202,3,301,15,0,0,0,0,0,286,144,,203800
G53000500102024,530050102024,53,5,10202,4,1881,139,126,77,36,134,30,1339,863,728,143500
G53000500102025,530050102025,53,5,10202,5,1861,374,475,69,196,108,44,595,1045,702,136400
G53000500103001,530050103001,53,5,10300,1,1953,0,32,0,0,230,119,1572,816,,143800
G53000500103002,530050103002,53,5,10300,2,1043,93,102,0,31,19,0,798,364,854,156100
G53000500103003,530050103003,53,5,10300,3,1106,194,0,0,152,31,15,714,485,1380,140200
G53000500103004,530050103004,53,5,10300,4,1602,20,155,14,378,77,61,897,624,940,
G53000500104001,530050104001,53,5,10400,1,1834,78,118,137,107,181,121,1092,915,901,130600
G53000500104002,530050104002,53,5,10400,2,784,17,49,13,22,116,173,394,337,948,96600
G53000500104003,530050104003,53,5,10400,3,835,18,46,33,32,60,82,564,353,698,119800
G53000500105001,530050105001,53,5,10500,1,1794,117,535,28,125,79,38,872,622,955,162100
G53000500105002,530050105002,53,5,10500,2,0,0,0,0,0,0,0,0,0,,
G53000500105003,530050105003,53,5,10500,3,1551,121,187,76,37,26,20,1084,511,1076,156000
G53000500106001,530050106001,53,5,10600,1,1372,46,89,167,40,133,0,897,545,906,150000
G53000500106002,530050106002,53,5,10600,2,1297,12,256,103,178,80,28,640,496,880,133400
G53000500106003,530050106003,53,5,10600,3,499,35,52,8,0,212,0,192,267,1104,146400
G53000500106004,530050106004,53,5,10600,4,373,0,42,0,46,5,22,258,224,969,152700
G53000500106005,530050106005,53,5,10600,5,500,0,0,0,0,0,0,500,331,1957,295500
G53000500107011,530050107011,53,5,10701,1,523,28,0,89,13,15,38,340,245,1050,133800
G53000500107012,530050107012,53,5,10701,2,1630,84,0,10,19,0,17,1500,609,1639,199000
G53000500107031,530050107031,53,5,10703,1,1086,66,309,0,8,112,25,566,380,771,130900
G53000500107032,530050107032,53,5,10703,2,734,88,0,105,0,47,0,494,311,,223700
