,BlockGroup,crime_count
0,131790106001,3
1,131839702003,3
2,410639602002,52
3,530050120001,41
4,530330001001,802
5,530330001002,1800
6,530330001003,920
7,530330001004,1462
8,530330001005,5215
9,530330002001,594
10,530330002002,1550
11,530330002003,875
12,530330002004,1024
13,530330002005,958
14,530330002006,718
15,530330003001,1090
16,530330003002,2242
17,530330004011,2991
18,530330004012,643
19,530330004013,2432
20,530330004021,1047
21,530330004022,1088
22,530330004023,881
23,530330004024,780
24,530330005001,662
25,530330005002,422
26,530330005003,624
27,530330006001,5674
28,530330006002,806
29,530330006003,5607
30,530330006004,2072
31,530330006005,655
32,530330006006,982
33,530330007001,2490
34,530330007002,1065
35,530330007003,1593
36,530330007004,687
37,530330008001,897
38,530330008002,876
39,530330009001,540
40,530330009002,577
41,530330010001,789
42,530330010002,958
43,530330011001,1223
44,530330011002,737
45,530330012001,2091
46,530330012002,1104
47,530330012003,2909
48,530330012004,10225
49,530330012005,2853
50,530330013001,2323
51,530330013002,2598
52,530330013003,3342
53,530330014001,855
54,530330014002,1659
55,530330014003,1676
56,530330014004,880
57,530330015001,490
58,530330015002,602
59,530330016001,684
60,530330016002,594
61,530330016003,2175
62,530330017011,3348
63,530330017012,2415
64,530330017013,1271
65,530330017021,795
66,530330017022,1109
67,530330017023,800
68,530330017024,824
69,530330018001,1322
70,530330018002,3545
71,530330018003,1983
72,530330019001,1732
73,530330019002,893
74,530330019003,633
75,530330020001,1101
76,530330020002,604
77,530330020003,742
78,530330021001,549
79,530330021002,524
80,530330021003,1313
81,530330022001,495
82,530330022002,684
83,530330022003,710
84,530330022004,466
85,530330024001,485
86,530330024002,288
87,530330024003,699
88,530330025001,996
89,530330025002,1041
90,530330026001,810
91,530330026002,1556
92,530330026003,2026
93,530330026004,889
94,530330027001,837
95,530330027002,1159
96,530330027003,1205
97,530330027004,2864
98,530330028001,885
99,530330028002,1013
100,530330028003,894
101,530330028004,1372
102,530330029001,948
103,530330029002,738
104,530330029003,702
105,530330030001,1208
106,530330030002,1836
107,530330030003,1517
108,530330030004,669
109,530330031001,871
110,530330031002,629
111,530330031003,787
112,530330031004,548
113,530330031005,1410
114,530330032001,442
115,530330032002,772
116,530330032003,1314
117,530330032004,961
118,530330032005,397
119,530330032006,748
120,530330032007,498
121,530330033001,999
122,530330033002,601
123,530330033003,1543
124,530330033004,967
125,530330033005,735
126,530330034001,1110
127,530330034002,800
128,530330034003,642
129,530330035001,1144
130,530330035002,1174
131,530330035003,1201
132,530330036001,2352
133,530330036002,3010
134,530330036003,911
135,530330036004,1537
136,530330038001,413
137,530330038002,500
138,530330039001,1124
139,530330039002,467
140,530330040001,2915
141,530330040002,416
142,530330041001,561
143,530330041002,636
144,530330041003,524
145,530330041004,486
146,530330041005,630
147,530330041006,354
148,530330042001,877
149,530330042002,1148
150,530330042003,1533
