,100 Block Address,Offense ID,Longitude,Latitude,BlockGroup
0,13XX BLOCK OF E BOSTON ST,13,-122.31530513507693,47.638264084615386,530330065001000.0
2,SW ROXBURY ST / 25TH AVE SW,3,-122.364567317,47.51736357,530330114023013.0
3,E HARRISON ST / 16TH AVE E,3,-122.311357444,47.62208142,530330076003002.0
4,3RD AVE W / W BARRETT ST,4,-122.360894692,47.64665257,530330060003004.0
5,7XX BLOCK OF MINOR AVE,416,-122.32239865792069,47.60801798,530330085002001.0
6,N 44TH ST / EASTERN AVE N,2,-122.328984665,47.66027587,530330051001016.0
7,112XX BLOCK OF DAYTON AVE N,26,-122.35284561561538,47.7114306,530330014001001.0
8,52ND AVE NE / NE 65TH ST,1,-122.271563669,47.67575962,530330040002013.0
9,45XX BLOCK OF SW HOLGATE ST,4,-122.38972286,47.58682338,530330096004013.0
10,41XX BLOCK OF 51ST AVE S,16,-122.2694847206875,47.56588372,530330101001021.0
11,30XX BLOCK OF 61ST AVE SW,52,-122.41071281407692,47.57682391,530330097012004.0
12,13XX BLOCK OF NW 59TH ST,1,-122.372166409,47.67162732,530330047001002.0
13,S SHELTON ST / 15TH AVE S,7,-122.313439215,47.5579,530330104022005.0
14,17XX BLOCK OF 22ND AVE,154,-122.3037534449026,47.61764399032468,530330079001001.0
15,125XX BLOCK OF 27TH AVE NE,116,-122.29909716918104,47.72020568086207,530330002002014.0
16,26XX BLOCK OF CALIFORNIA AVE SW,591,-122.38658356211168,47.58025275,530330098001020.0
17,COLUMBIA DR S / S EDMUNDS ST,1,-122.305825712,47.5594291,530330104022004.0
18,15XX BLOCK OF NW 90TH ST,57,-122.3797375253158,47.69468161736842,530330016002006.0
19,DAYTON AVE N / N 122ND ST,2,-122.35290782,47.71778014,530330004024001.0
20,NW 57TH ST / 17TH AVE NW,1,-122.378883141,47.67017483,530330047003010.0
21,N 45TH ST / CORLISS AVE N,17,-122.331355596,47.66137501,530330051001013.0
22,14XX BLOCK OF SW ROXBURY ST,9,-122.35347128488888,47.51735061,530330265002004.0
23,53XX BLOCK OF 14TH AVE S,16,-122.31456025825,47.55423012,530330104024020.0
24,4XX BLOCK OF 36TH AVE E,5,-122.287473382,47.62293706,530330078004009.0
25,3XX BLOCK OF S KING ST,15,-122.33034314333332,47.59828895533333,530330093002004.0
26,N 62ND ST / DAYTON AVE N,7,-122.35286744,47.67388234,530330035002029.0
27,19XX BLOCK OF BLENHEIM DR E,2,-122.290150084,47.63626979,530330063004006.0
28,106XX BLOCK OF DURLAND AVE NE,16,-122.277590841,47.7063129,530330009001016.0
29,S HANFORD ST / 1ST AVE S,79,-122.334203019,47.57557558,530330093003029.0
30,MAGNOLIA BLVD W / W HOWE ST,8,-122.405100017,47.63589509,530330056003010.0
31,11XX BLOCK OF 32ND AVE,18,-122.29143265144444,47.612278681111114,530330078003019.0
32,7XX BLOCK OF 22ND AVE E,7,-122.30357159857142,47.62601653142857,530330064003019.0
33,81XX BLOCK OF FAUNTLEROY WAY SW,2,-122.392708012,47.53065739,530330116005000.0
34,1XX BLOCK OF 18TH AVE,76,-122.3089648713421,47.60263658,530330087003017.0
35,75XX BLOCK OF DAYTON AVE N,2,-122.352421601,47.68365832,530330028002002.0
36,29XX BLOCK OF E UNION ST,17,-122.29431577229413,47.61295019176471,530330077001033.0
37,83XX BLOCK OF 9TH AVE NW,44,-122.36832578036363,47.689361405454555,530330030001002.0
38,63XX BLOCK OF W MARGINAL WAY SW,13,-122.34509608930767,47.5473692,530330108001003.0
39,RENTON AVE S / M L KING JR WAY S,3,-122.296751504,47.57152594,530330101003000.0
40,45XX BLOCK OF S ORCAS ST,27,-122.2765232068148,47.55117036,530330103002004.0
41,42XX BLOCK OF 10TH AVE S,3,-122.31990454266666,47.56539947,530330093003109.0
42,25XX BLOCK OF S LANE ST,10,-122.299350229,47.59675749,530330089004001.0
43,2XX BLOCK OF NE N LAKE WAY,1,-122.326289149,47.65375252,530330052003032.0
44,GENESSEE AV S/ RAINIER AV S,1,-122.278256133,47.56415603,530330101001012.0
45,N 92ND ST / MERIDIAN AVE N,1,-122.333803906,47.69594665,530330019001018.0
46,FAIRVIEW AVE N / ALOHA ST,3,-122.332799031,47.62722135,530330066001031.0
47,19XX BLOCK OF NE 105TH ST,7,-122.306629583,47.70483552,530330011002012.0
48,130XX BLOCK OF 39TH AVE NE,22,-122.286401776,47.72469565,530330001001020.0
49,5XX BLOCK OF W COMSTOCK ST,11,-122.36376821845454,47.6304651,530330069003001.0
50,40XX BLOCK OF BURKE AVE N,33,-122.33505481536363,47.65622656,530330051002022.0
51,90XX BLOCK OF 7TH AVE NW,24,-122.3646853005,47.695156491666665,530330017024014.0
52,17XX BLOCK OF NW 97TH ST,14,-122.37963717,47.69972198,530330016001017.0
53,3XX BLOCK OF W CROCKETT ST,8,-122.36162464,47.63775949,530330068002004.0
54,E OLIVE WAY / HARVARD AVE E,42,-122.322205993,47.6198982,530330074021000.0
55,34XX BLOCK OF SW TRENTON ST,4,-122.375965686,47.52465396,530330115002011.0
56,24XX BLOCK OF S ANGELINE ST,11,-122.30142856754544,47.559977680909086,530330104012000.0
57,S/B BATTERY STREET TUNNEL,1,-122.345656281,47.62038745,530330072001025.0
58,88XX BLOCK OF 42ND AVE S,24,-122.28069574883332,47.52365452333333,530330117001011.0
59,SW MORGAN ST / LANHAM PL SW,3,-122.372534123,47.54465308,530330107022011.0
60,W PROSPECT ST / 7TH AVE W,2,-122.366474643,47.62875036,530330069003015.0
61,37TH AVE S / S HOLLY ST,1,-122.286277155,47.54247074,530330110012005.0
62,8TH AVE S / S ORCHARD ST,2,-122.322565531,47.53867868,530330109001019.0
63,127XX BLOCK OF 28TH AVE NE,111,-122.29772827156756,47.72180711,530330002002012.0
64,DEXTER AVE N / HOWE ST,6,-122.3424075625,47.63599561,530330067001007.0
65,ALASKAN WAY VI NB / MARION ST,1,-122.337473698,47.60319105,530330081001043.0
66,67XX BLOCK OF 37TH AVE S,60,-122.2862582246,47.5415623,530330110012005.0
67,4 AV S / EDGAR MARTINEZ DR S,21,-122.329051725,47.59031044,530330093002071.0
68,MCGRAW ST / NOB HILL AVE N,1,-122.351302674,47.63994564,530330060002047.0
69,E OLIVE WAY / E OLIVE PL,2,-122.326819704,47.61707676,530330074023010.0
70,53XX BLOCK OF 47TH AVE SW,9,-122.392329629,47.55446415,530330105003010.0
71,21ST AVE NE / NE 54TH ST,6,-122.305478175,47.66799691,530330043013018.0
72,S ROYAL BROUGHAM WAY / 8TH AVE S,2,-122.322769422,47.59278183,530330093001033.0
73,43XX BLOCK OF NE 43RD ST,22,-122.28038350863636,47.65986681,530330041003008.0
74,77XX BLOCK OF 31ST AVE NE,13,-122.29484225153846,47.68492951384616,530330024003017.0
75,CALIFORNIA AVE SW / SW DONALD ST,2,-122.386145799,47.59191086,530330096005024.0
76,AIRPORT WAY S / S NORFOLK ST,3,-122.288138264,47.51365307,530330117002012.0
77,27XX BLOCK OF S JACKSON ST,36,-122.29682317675,47.5992259,530330089003009.0
78,101XX BLOCK OF DAYTON AVE N,1,-122.352735654,47.70254005,530330017013010.0
79,74XX BLOCK OF E MARGINAL WAY S,1,-122.317892566,47.53708722,530330109001020.0
80,FRANKLIN AVE E / E LOUISA ST,4,-122.324648088,47.64202992,530330061004003.0
81,16XX BLOCK OF 3RD AVE W,27,-122.361000383,47.63413586,530330068002019.0
82,11TH AVE NW / NW 103RD ST,1,-122.370079729,47.70335199,530330014004005.0
83,73XX BLOCK OF 45TH AVE S,21,-122.2766767130476,47.53637037,530330111012017.0
84,N ALLEN PL / FREMONT AVE N,6,-122.350032103,47.66076328,530330049005008.0
85,20XX BLOCK OF NW 56TH ST,26,-122.38343463953846,47.66945040384616,530330047004007.0
86,32XX BLOCK OF 34TH AVE S,44,-122.289877561,47.57449356,530330095003056.0
87,4XX BLOCK OF NW 97TH ST,9,-122.36271727755556,47.69967695,530330017024002.0
88,SW ANDOVER ST / 22ND AVE SW,3,-122.361177776,47.5683503,530330099002000.0
89,79XX BLOCK OF WALLINGFORD AVE N,66,-122.33674719736364,47.68630425,530330027003010.0
90,1ST AVE NE / WOODLAWN AVE NE,5,-122.328349555,47.67751252,530330036004013.0
91,S FARRAR ST / 51ST AVE S,2,-122.269812235,47.55556257,530330102001031.0
92,20TH AVE SW / SW BARTON ST,1,-122.359162421,47.5210292,530330114022006.0
93,143XX BLOCK OF 20TH AVE NE,36,-122.30733603588888,47.73297973,530330002006004.0
94,40XX BLOCK OF 18TH AVE SW,2,-122.356947467,47.56922664,530330099002005.0
95,28XX BLOCK OF NW 71ST ST,14,-122.39434884828572,47.68024598,530330031004020.0
96,31XX BLOCK OF 8TH AVE W,1,-122.368104452,47.64787697,530330059003013.0
97,45XX BLOCK OF SAND POINT WAY NE,78,-122.285797734,47.66206303,530330041005000.0
98,50XX BLOCK OF 26TH AVE SW,72,-122.36551199702777,47.559290829583325,530330108003003.0
99,35XX BLOCK OF WOODLAWN AVE N,17,-122.33871804947059,47.64986041117647,530330054003023.0
100,9XX BLOCK OF VIRGINIA ST,13,-122.3353063873846,47.61671742,530330073002025.0
101,14XX BLOCK OF NW 53RD ST,29,-122.37490348951724,47.66716083,530330047002004.0
102,36XX BLOCK OF 23RD AVE W,34,-122.38598917408824,47.65306401,530330058011000.0
103,36XX BLOCK OF E CHERRY ST,15,-122.286683027,47.60791156,530330078002027.0
104,S DEARBORN ST / 25TH AVE S,2,-122.300055412,47.59556628,530330089004006.0
105,7XX BLOCK OF NW 58TH ST,6,-122.365632909,47.67088988,530330034003005.0
106,I5 / SWIFT AV S,1,-122.304757582,47.54474829,530330110021005.0
107,65XX BLOCK OF 18TH AVE SW,46,-122.357154115,47.54472315,530330108002002.0
108,BROADWAY / HARVARD AVE,2,-122.320760065,47.61125935,530330075004022.0
109,S ROSE ST / WABASH AVE S,6,-122.269694204,47.529311,530330118006007.0
110,2XX BLOCK OF BROADWAY E,869,-122.32088228532103,47.62049180080552,530330075005003.0
111,MYERS WAY S / OLSON PL SW,17,-122.334841353,47.52232234,530330112001013.0
112,68XX BLOCK OF 49TH AVE NE,20,-122.2756188333,47.6785123785,530330039002007.0
113,N 46TH ST / BAGLEY AVE N,3,-122.332537898,47.66262684,530330051001002.0
114,E GALER ST / 16TH AVE E,3,-122.311215442,47.6323269,530330062003002.0
115,28XX BLOCK OF NE 127TH ST,61,-122.29702827193442,47.72109701295082,530330002002012.0
116,39XX BLOCK OF E PINE ST,4,-122.282681825,47.615231915,530330078001050.0
117,10XX BLOCK OF BOYLSTON AVE E,13,-122.32352408661538,47.62826983,530330065002003.0
118,42XX BLOCK OF S MORGAN ST,12,-122.280296931,47.54421756,530330111014008.0
119,49XX BLOCK OF SW NIESZ CT,1,-122.393605127,47.58300875,530330096003008.0
120,JAMES ST / 5TH AVE,3,-122.32918704,47.60369752,530330085001024.0
121,88XX BLOCK OF 18TH AVE SW,74,-122.35778559132432,47.52378257,530330114021001.0
122,15XX BLOCK OF NE 96TH ST,4,-122.310636105,47.69851355,530330020002007.0
123,S DELLA ST / S WALDEN ST,1,-122.29776952,47.57170865,530330100011016.0
124,16TH AVE S / S HOLGATE ST,4,-122.312058545,47.58635787,530330094005009.0
125,3XX BLOCK OF W SMITH ST,5,-122.361585716,47.64141468,530330059005030.0
126,84XX BLOCK OF BEACON AVE S,30,-122.28780460073332,47.527103802666666,530330117003013.0
127,35XX BLOCK OF SW 112TH ST,12,-122.377093794,47.50281705,530330121002019.0
128,14XX BLOCK OF E UNION ST,157,-122.31347363471336,47.61291458012738,530330075004011.0
129,S DAWSON ST / 35TH AVE S,3,-122.289417671,47.55513253,530330103004011.0
130,5XX BLOCK OF 3RD AVE N,1,-122.351496243,47.62341248,530330071002001.0
131,2XX BLOCK OF STEWART ST,118,-122.34002202332204,47.61129654,530330080021002.0
132,36XX BLOCK OF AURORA AVE N,9,-122.347315096,47.65205986,530330049002016.0
