,Unnamed: 0,PropertyID,SaleDollarCnt,TransDate,censusblockgroup,ZoneCodeCounty,Usecode,BedroomCnt,BathroomCnt,FinishedSquareFeet,GarageSquareFeet,LotSizeSquareFeet,StoryCnt,BuiltYear,ViewType,Latitude,Longitude,BGMedHomeValue,BGMedRent,BGMedYearBuilt,BGPctOwn,BGPctVacant,BGMedIncome,BGPctKids,BGMedAge,TransYear,TransMonth,TransDay,BlockGroup,Block
0,0,48648941,285000.0,5/23/2015,530000000000.0,R7,9,4.0,2.0,1900.0,480.0,7482,1,1965.0,0,47321389,-122213716,107800.0,844.0,1975.0,0.6685,0.078,42854,0.1924,48.6,2015,5,23,530330305044,530330305044007.0
1,1,48648982,309950.0,8/22/2015,530000000000.0,R8P,9,3.0,2.0,2170.0,320.0,14208,1,1953.0,79,47482082,-122244269,181500.0,925.0,1969.0,0.5753,0.0192,54013,0.3718,42.6,2015,8,22,530330261004,530330261004025.0
2,2,48649024,476000.0,8/27/2015,530000000000.0,SF 7200,9,4.0,1.0,2150.0,590.0,6500,1,1955.0,0,47561383,-122308083,344300.0,733.0,1946.0,0.6331,0.0,56782,0.3207,40.7,2015,8,27,530330100012,530330100012028.0
3,3,48649040,324950.0,7/1/2015,530000000000.0,R1,9,4.0,2.25,2560.0,0.0,15767,1,1962.0,79,47387929,-122279389,284200.0,900.0,1977.0,0.5456,0.0573,44200,0.3359,40.0,2015,7,1,530330291023,530330291023004.0
4,4,48649057,325000.0,6/20/2015,530000000000.0,LDR,9,4.0,1.75,1720.0,0.0,8620,2,1948.0,78,47477068,-122263852,290100.0,802.0,1972.0,0.4267,0.0551,65282,0.1633,44.4,2015,6,20,530330262002,530330262002005.0
5,5,48649061,235000.0,4/7/2015,530000000000.0,LDR,9,3.0,1.0,1430.0,240.0,7599,2,1930.0,0,47478287,-122264698,290100.0,802.0,1972.0,0.4267,0.0551,65282,0.1633,44.4,2015,4,7,530330262002,530330262002005.0
6,6,48649122,653295.0,7/25/2015,530000000000.0,SF 5000,9,4.0,1.5,2110.0,0.0,7000,2,1915.0,0,47578139,-122294489,470100.0,625.0,1955.0,0.5757,0.0,66875,0.2709,45.2,2015,7,25,530330095004,530330095004006.0
7,7,48649137,370000.0,9/17/2015,530000000000.0,R8P,9,3.0,2.0,1750.0,0.0,34465,2,1961.0,78,47493229,-122261042,190500.0,755.0,1972.0,0.3233,0.0,48582,0.1241,40.1,2015,9,17,530330261005,530330261005001.0
8,8,48649324,334950.0,9/25/2015,530000000000.0,SF 5000,9,2.0,1.0,790.0,0.0,5240,1,1925.0,0,47530271,-122288466,296300.0,897.0,1957.0,0.8322,0.0714,46875,0.3636,40.0,2015,9,25,530330117002,530330117002003.0
9,9,48649440,625000.0,7/9/2015,530000000000.0,SF 5000,9,3.0,2.25,1680.0,480.0,3863,2,1988.0,0,47680263,-122301434,458900.0,1348.0,1955.0,0.7047,0.0,94087,0.2542,34.3,2015,7,9,530330025002,530330025002000.0
10,10,48649479,315000.0,9/26/2015,530000000000.0,R5,9,3.0,3.0,3020.0,0.0,27229,1,2000.0,79,47314497,-122254904,354400.0,1186.0,1985.0,0.8754,0.0796,101071,0.3446,40.3,2015,9,26,530330299023,530330299023018.0
11,11,48649557,872750.0,5/2/2015,530000000000.0,R5,9,3.0,3.0,2870.0,870.0,13695,2,1991.0,0,47694388,-122101865,512200.0,,1994.0,0.977,0.0,137019,0.6054,36.3,2015,5,2,530330323234,530330323234003.0
12,12,48649563,830000.0,7/29/2015,530000000000.0,R5,9,3.0,2.5,2730.0,540.0,8027,2,1991.0,0,47693889,-122101437,512200.0,,1994.0,0.977,0.0,137019,0.6054,36.3,2015,7,29,530330323234,530330323234003.0
13,13,48649598,850000.0,9/11/2015,530000000000.0,R5,9,6.0,3.25,3730.0,700.0,7538,2,1991.0,79,47694007,-122102425,518100.0,1781.0,1992.0,0.5125,0.0,67650,0.192,58.4,2015,9,11,530330323232,530330323232004.0
14,14,48649672,730000.0,6/2/2015,530000000000.0,R4,9,3.0,2.5,2300.0,500.0,9000,2,1993.0,0,47697919,-122101123,512200.0,,1994.0,0.977,0.0,137019,0.6054,36.3,2015,6,2,530330323234,530330323234003.0
15,15,48649684,795000.0,8/5/2015,530000000000.0,R4,9,4.0,3.0,2280.0,790.0,10102,2,1992.0,0,47698772,-122100199,512200.0,,1994.0,0.977,0.0,137019,0.6054,36.3,2015,8,5,530330323234,530330323234003.0
16,16,48649700,730000.0,9/11/2015,530000000000.0,R4,9,3.0,2.5,2210.0,530.0,10926,2,1993.0,0,47699296,-122101913,512200.0,,1994.0,0.977,0.0,137019,0.6054,36.3,2015,9,11,530330323234,530330323234003.0
17,17,48649777,812000.0,6/19/2015,530000000000.0,R4,9,3.0,2.5,2470.0,730.0,9001,2,1995.0,0,47697811,-122115943,518100.0,1781.0,1992.0,0.5125,0.0,67650,0.192,58.4,2015,6,19,530330323232,530330323232000.0
18,18,48649784,787500.0,6/6/2015,530000000000.0,R4,9,4.0,2.75,3010.0,760.0,9005,2,1996.0,0,47697922,-122115199,518100.0,1781.0,1992.0,0.5125,0.0,67650,0.192,58.4,2015,6,6,530330323232,530330323232000.0
19,19,48649812,275000.0,7/23/2015,530000000000.0,SF 5000,9,3.0,1.0,920.0,280.0,5085,1,1954.0,0,47522935,-122332092,205700.0,1000.0,1963.0,0.4293,0.0,46154,0.4209,31.7,2015,7,23,530330112001,530330112001017.0
20,20,48649824,268000.0,6/6/2015,530000000000.0,SF 5000,9,2.0,1.0,1030.0,0.0,7650,1,1950.0,0,47522615,-122331005,205700.0,1000.0,1963.0,0.4293,0.0,46154,0.4209,31.7,2015,6,6,530330112001,530330112001016.0
21,21,48649878,219950.0,4/21/2015,530000000000.0,R7,9,3.0,2.0,1070.0,520.0,6601,1,1985.0,0,47311453,-122208799,250600.0,933.0,1956.0,0.6612,0.0,46826,0.2564,39.7,2015,4,21,530330306001,530330306001014.0
22,22,48649908,152000.0,9/26/2015,530000000000.0,R7,9,1.0,1.0,670.0,0.0,4453,1,1914.0,0,47310314,-122210439,250600.0,933.0,1956.0,0.6612,0.0,46826,0.2564,39.7,2015,9,26,530330306001,530330306001015.0
23,23,48649979,460000.0,8/22/2015,530000000000.0,R6,9,3.0,2.0,1400.0,480.0,8400,1,1975.0,0,47691270,-122116040,344500.0,1106.0,1992.0,0.4269,0.0272,67188,0.2365,35.4,2015,8,22,530330323252,530330323252011.0
24,24,48649982,547000.0,8/19/2015,530000000000.0,R6,9,4.0,3.0,2470.0,230.0,7800,1,1975.0,0,47691284,-122115106,344500.0,1106.0,1992.0,0.4269,0.0272,67188,0.2365,35.4,2015,8,19,530330323252,530330323252011.0
25,25,48650009,632000.0,6/6/2015,530000000000.0,R6,9,4.0,2.75,1980.0,380.0,9800,1,1976.0,0,47692160,-122116465,344500.0,1106.0,1992.0,0.4269,0.0272,67188,0.2365,35.4,2015,6,6,530330323252,530330323252012.0
26,26,48650061,610000.0,9/18/2015,530000000000.0,R4,9,3.0,2.0,2460.0,220.0,8625,1,1978.0,0,47699347,-122119650,630000.0,1355.0,1994.0,0.3032,0.0,74831,0.2034,31.5,2015,9,18,530330323231,530330323231008.0
27,27,48650065,509000.0,5/30/2015,530000000000.0,R4,9,3.0,1.75,1820.0,220.0,9200,1,1978.0,0,47699396,-122121031,630000.0,1355.0,1994.0,0.3032,0.0,74831,0.2034,31.5,2015,5,30,530330323231,530330323231008.0
28,28,48650174,1150000.0,7/2/2015,530000000000.0,R8.4,9,6.0,3.25,2660.0,525.0,7140,2,2010.0,0,47573638,-122215844,621000.0,2001.0,1960.0,0.7631,0.0445,139375,0.3592,45.9,2015,7,2,530330245002,530330245002000.0
29,29,48650240,1038000.0,4/1/2015,530000000000.0,R8.4,9,5.0,2.75,3050.0,420.0,8904,1,1956.0,0,47570850,-122214353,621000.0,2001.0,1960.0,0.7631,0.0445,139375,0.3592,45.9,2015,4,1,530330245002,530330245002029.0
30,30,48650272,460000.0,6/16/2015,530000000000.0,SF 5000,9,3.0,1.75,1540.0,510.0,4000,1,1961.0,0,47530433,-122391879,576700.0,945.0,1953.0,0.7116,0.0,136544,0.1797,50.1,2015,6,16,530330116005,530330116005000.0
31,31,48650292,468900.0,8/11/2015,530000000000.0,SF 5000,9,3.0,2.0,1620.0,260.0,5500,1,1954.0,0,47529515,-122391991,576700.0,945.0,1953.0,0.7116,0.0,136544,0.1797,50.1,2015,8,11,530330116005,530330116005001.0
32,32,48650312,480000.0,4/18/2015,530000000000.0,SF 5000,9,5.0,3.0,2240.0,0.0,5500,1,1959.0,79,47530468,-122390765,497300.0,545.0,1956.0,0.8234,0.1036,103448,0.2375,49.0,2015,4,18,530330116003,530330116003006.0
33,33,48650512,380000.0,4/21/2015,530000000000.0,LDR,9,5.0,3.0,2130.0,420.0,8428,2,2013.0,0,47472850,-122282011,245400.0,893.0,1975.0,0.4233,0.1248,42104,0.2853,37.5,2015,4,21,530330282001,530330282001005.0
34,34,48650755,224950.0,8/15/2015,530000000000.0,UM2400,9,3.0,1.0,1330.0,0.0,8749,2,1928.0,0,47467213,-122291693,289500.0,792.0,1965.0,0.3333,0.0642,50536,0.3603,39.6,2015,8,15,530330281002,530330281002001.0
35,35,48650786,330000.0,7/7/2015,530000000000.0,LDR,9,3.0,2.0,2290.0,540.0,6500,2,2014.0,0,47467200,-122283929,313300.0,794.0,1980.0,0.2203,0.1006,31731,0.2864,33.4,2015,7,7,530330282003,530330282003002.0
36,36,48650963,1378400.0,6/27/2015,530000000000.0,R15,9,6.0,4.0,5240.0,0.0,33403,2,1987.0,78,47567530,-122210612,954000.0,2001.0,1972.0,0.81,0.0733,147844,0.4896,42.3,2015,6,27,530330245001,530330245001001.0
37,37,48651093,245000.0,8/28/2015,530000000000.0,RS9.6,9,5.0,3.0,2180.0,520.0,12000,2,1961.0,0,47328595,-122361301,316400.0,,1973.0,0.8947,0.0714,74257,0.3745,47.1,2015,8,28,530330301006,530330301006012.0
38,38,48651187,625000.0,8/29/2015,530000000000.0,SF 5000,9,2.0,1.75,1560.0,230.0,5000,1,1936.0,82,47576594,-122406230,625000.0,1072.0,1957.0,0.499,0.0,96227,0.1811,42.1,2015,8,29,530330097011,530330097011015.0
39,39,48651190,1180000.0,9/11/2015,530000000000.0,SF 5000,9,4.0,4.0,3320.0,380.0,4791,2,2004.0,82,47576812,-122405727,625000.0,1072.0,1957.0,0.499,0.0,96227,0.1811,42.1,2015,9,11,530330097011,530330097011015.0
40,40,48651212,730000.0,9/22/2015,530000000000.0,SF 5000,9,3.0,2.0,1830.0,190.0,3440,2,1941.0,82,47577765,-122402043,548600.0,1324.0,1955.0,0.5608,0.069,69167,0.3365,34.2,2015,9,22,530330097025,530330097025015.0
41,41,48651217,611206.0,5/16/2015,530000000000.0,SF 7200,9,1.0,1.0,1940.0,0.0,6300,1,1963.0,82,47578214,-122400426,548600.0,1324.0,1955.0,0.5608,0.069,69167,0.3365,34.2,2015,5,16,530330097025,530330097025015.0
42,42,48651230,1000000.0,8/4/2015,530000000000.0,SF 5000,9,2.0,2.0,2710.0,420.0,15200,2,1979.0,82,47577823,-122403705,625000.0,1072.0,1957.0,0.499,0.0,96227,0.1811,42.1,2015,8,4,530330097011,530330097011009.0
