county,tract,bg,state,BlockGroup,sduni14,sdelm14,sdsec14,sdbest14,sdbesttype14,cd114,hsa,stab,cntyname,eschlnm14,sschlnm14,uschlnm14,bschlnm14,hsaname,intptlon,intptlat,pop14,afact
53033,1.00,1,53,530330001001,7710, , ,7710,u,7, ,WA,King WA,53,53,Seattle School District,Seattle School District, ,-122.274452,47.726342,0,0
53033,1.00,1,53,530330001001,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.285129,47.727166,1346.257655,1
53033,1.00,2,53,530330001002,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.293767,47.729003,1329.025557,1
53033,1.00,3,53,530330001003,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.289899,47.722102,1439.957188,1
53033,1.00,4,53,530330001004,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.294692,47.731969,1606.893137,1
53033,1.00,5,53,530330001005,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.29413,47.722005,1014.539769,1
53033,2.00,1,53,530330002001,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.298755,47.729227,1169.628651,1
53033,2.00,2,53,530330002002,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.301652,47.721706,1464.728329,1
53033,2.00,3,53,530330002003,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.319384,47.726133,1625.202241,1
53033,2.00,4,53,530330002004,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.310433,47.728955,1134.087449,1
53033,2.00,5,53,530330002005,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.3142,47.722795,1425.956108,1
53033,2.00,6,53,530330002006,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.304861,47.729568,1415.186047,1
53033,3.00,1,53,530330003001,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.33052,47.729953,1354.873704,1
53033,3.00,2,53,530330003002,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.340526,47.731542,1448.573237,1
53033,4.01,1,53,530330004011,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.3488,47.729943,3060.851404,1
53033,4.01,2,53,530330004012,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.357697,47.728616,1553.042831,1
53033,4.01,3,53,530330004013,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.353648,47.72468,1364.566759,1
53033,4.02,1,53,530330004021,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.355348,47.72235,1315.024477,1
53033,4.02,2,53,530330004022,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.34797,47.715072,1009.154738,1
53033,4.02,3,53,530330004023,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.355566,47.714167,1285.945312,1
53033,4.02,4,53,530330004024,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.35638,47.719009,1603.662119,1
53033,5.00,1,53,530330005001,7710, , ,7710,u,7, ,WA,King WA,53,53,Seattle School District,Seattle School District, ,-122.379507,47.716598,0,0
53033,5.00,1,53,530330005001,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.369273,47.723819,1331.179569,1
53033,5.00,2,53,530330005002,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.363599,47.720516,944.534371,1
53033,5.00,3,53,530330005003,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.366625,47.715785,1133.010442,1
53033,6.00,1,53,530330006001,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.334004,47.725247,1515.347616,1
53033,6.00,2,53,530330006002,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.314973,47.71478,1262.251177,1
53033,6.00,3,53,530330006003,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.338688,47.717261,1523.963665,1
53033,6.00,4,53,530330006004,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.336245,47.711873,1662.897455,1
53033,6.00,5,53,530330006005,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.325294,47.716814,864.835918,1
53033,6.00,6,53,530330006006,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.318357,47.717011,1383.952869,1
53033,7.00,1,53,530330007001,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.294386,47.717575,1682.283566,1
53033,7.00,2,53,530330007002,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.297817,47.715173,1223.478957,1
53033,7.00,3,53,530330007003,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.308116,47.717395,930.533291,1
53033,7.00,4,53,530330007004,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.307772,47.713959,943.457365,1
53033,8.00,1,53,530330008001,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.287134,47.71558,1257.943153,1
53033,8.00,2,53,530330008002,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.285128,47.708422,1523.963665,1
53033,9.00,1,53,530330009001,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.279718,47.712588,1177.167694,1
53033,9.00,2,53,530330009002,7710, , ,7710,u,7, ,WA,King WA,53,53,Seattle School District,Seattle School District, ,-122.267523,47.707391,0,0
53033,9.00,2,53,530330009002,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.275656,47.70359,997.307671,1
53033,10.00,1,53,530330010001,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.297539,47.70939,971.459524,1
53033,10.00,2,53,530330010002,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.296535,47.703736,1119.009363,1
