"county","tract","bg","state","sduni14","sdelm14","sdsec14","sdbest14","sdbesttype14","cd114","hsa","stab","cntyname","eschlnm14","sschlnm14","uschlnm14","bschlnm14","hsaname","intptlon","intptlat","pop14","afact"
"County code","Tract","Block group","State code","sduni14","sdelm14","sdsec14","sdbest14","sdbesttype14","cd114","Hospital service areas (2016)","State abbreviation","County name","Elementary school district name 2014","Secondary school district name 2014","Unified school district name 2014","Best school district name 2014","Hospital service areas 2016","Wtd centroid W longitude, degrees","Wtd centroid latitude, degrees","Pop 2014 estimate from county-level estimates","bg to hsa allocation factor"
"53001","9501.00","1","53","04290"," "," ","04290","u","04","50053","WA","Adams WA","53","53","Lamont School District","Lamont School District","WA- RITZVILLE",-117.988069,47.117073,2.048163,0.002743 
"53001","9501.00","1","53","04410"," "," ","04410","u","04","50053","WA","Adams WA","53","53","Lind School District","Lind School District","WA- RITZVILLE",-118.473533,47.037091,11.264897,0.015089 
"53001","9501.00","1","53","06120"," "," ","06120","u","04","50053","WA","Adams WA","53","53","Odessa School District","Odessa School District","WA- RITZVILLE",-118.678044,47.187045,138.251015,0.185185 
"53001","9501.00","1","53","06120"," "," ","06120","u","04","50059","WA","Adams WA","53","53","Odessa School District","Odessa School District","WA- SPOKANE",-118.840583,47.244117,64.51714,0.08642 
"53001","9501.00","1","53","07380"," "," ","07380","u","04","50053","WA","Adams WA","53","53","Ritzville School District","Ritzville School District","WA- RITZVILLE",-118.366544,47.138583,528.4261,0.707819 
"53001","9501.00","1","53","07380"," "," ","07380","u","04","50059","WA","Adams WA","53","53","Ritzville School District","Ritzville School District","WA- SPOKANE",-118.123471,47.049995,0,0 
"53001","9501.00","1","53","08280"," "," ","08280","u","04","50053","WA","Adams WA","53","53","Sprague School District","Sprague School District","WA- RITZVILLE",-118.088346,47.254469,2.048163,0.002743 
"53001","9501.00","2","53","07380"," "," ","07380","u","04","50053","WA","Adams WA","53","53","Ritzville School District","Ritzville School District","WA- RITZVILLE",-118.374077,47.123879,1194.079133,1 
"53001","9501.00","3","53","07380"," "," ","07380","u","04","50053","WA","Adams WA","53","53","Ritzville School District","Ritzville School District","WA- RITZVILLE",-118.38278,47.128464,565.293037,1 
